horizon_h,model,MAE,RMSE,R2
1,Persistence,2.7383035112512233,4.886996969569844,0.9757153253381313
1,Seasonal_naive_24h,9.168053918904228,16.556398774913458,0.7212724440634521
1,Rolling_mean_24h,7.224792377794687,12.790429679979393,0.833651680086545
1,AR(24)_frozen,2.374966571663443,4.2743558990959265,0.98140600300007
1,Ridge,5.096031942468899,7.858460280713561,0.9372052876872253
1,RandomForest,5.264927890531199,7.483689659073918,0.9430518409720169
1,MLP,5.627489036709314,7.755315512648195,0.9388428705796226
1,XGBoost,5.020782284601756,7.283056352411294,0.9460644029199681
2,Persistence,4.760665579473798,8.313259295600899,0.9297324791493882
2,Seasonal_naive_24h,9.168191780821918,16.557093849430707,0.7212722564823044
2,Ridge,6.352300521411207,10.3800603942425,0.8904501622418053
2,RandomForest,5.970413176676443,9.186105543216131,0.9142024592256129
2,MLP,5.452916410960428,8.460061714677892,0.9272288831508343
2,XGBoost,5.550325426949188,8.655478143202712,0.9238282197146247
3,Persistence,6.281290203327171,10.877752132780738,0.8797026405255872
3,Seasonal_naive_24h,9.168242687832988,16.557745442536195,0.7212722681665579
3,Ridge,7.396246346126224,12.355940400883274,0.844786537476184
3,RandomForest,6.335340638028408,10.286764812028899,0.8924190440821669
3,MLP,6.174741651461823,9.879225423550672,0.900774437808678
3,XGBoost,6.021591890123339,9.667566306810953,0.9049806409441865
4,Persistence,7.4686855154414955,12.896497846242196,0.83092108058794
4,Seasonal_naive_24h,9.168184862983905,16.55833673300662,0.7212728307404699
4,Ridge,8.276777916748115,13.975400116361008,0.8014479456585337
4,RandomForest,6.620578898126302,10.971457402916984,0.8776301222254006
4,MLP,6.866782897524267,10.950556193924132,0.8780959203485448
4,XGBoost,6.544785375801051,10.707998635167613,0.8834365218256899
