district_id,district_name,Model,MAE,RMSE,R2,n_test
0,ajapnyak,AR(24)_frozen,3.3998169010998316,6.702579134050326,0.9442843362136024,9172
0,ajapnyak,Persistence,3.533508244553818,7.1101823285533445,0.9374216880819217,9172
0,ajapnyak,Ridge,6.339335761430234,10.137085134088224,0.872799576839417,9172
0,ajapnyak,XGBoost,7.78178659737661,11.41653699391693,0.8386640521241996,9172
0,ajapnyak,RandomForest,8.203583583756766,11.432332752047326,0.8382172990338246,9172
0,ajapnyak,Seasonal_naive_24h,9.311539623699456,17.168172216110186,0.6351532427283004,9172
1,arabkir,AR(24)_frozen,4.878027023455078,8.334834660128553,0.9595820158689773,3494
1,arabkir,Persistence,5.379966659765961,9.048971292800102,0.952473185108784,3494
1,arabkir,Ridge,7.191855587453812,11.550503273474941,0.9225641438677801,3494
1,arabkir,RandomForest,7.49856578604054,13.686922283609263,0.8912693731621264,3494
1,arabkir,XGBoost,8.031797270469578,16.190718439670995,0.8478497991625622,3494
1,arabkir,Seasonal_naive_24h,15.566301374006855,25.61190174911924,0.6192639994793632,3494
2,avan,AR(24)_frozen,9.347966123409924,17.496171901229577,0.881815354453976,2434
2,avan,Persistence,10.09429603435458,18.610716967654163,0.8665752011761126,2434
2,avan,Ridge,15.115010057758838,25.485075597099133,0.7498029410945812,2434
2,avan,RandomForest,15.53138071891475,28.450387313499093,0.6881923873916744,2434
2,avan,XGBoost,18.233302964264755,36.3781701353359,0.49020913698181756,2434
2,avan,Seasonal_naive_24h,22.440169392599547,36.551751181421835,0.4853325228354206,2434
3,davtashen,AR(24)_frozen,7.002072274450137,12.125833262544012,0.9321310665201092,2407
3,davtashen,Persistence,7.420596639431289,12.63605277685579,0.9265170789470958,2407
3,davtashen,Ridge,11.611072142418095,18.56160706686983,0.8414396122786275,2407
3,davtashen,RandomForest,12.237347121790638,22.684030551759143,0.7631878413595736,2407
3,davtashen,XGBoost,13.154639424352656,25.3238719574478,0.7048629259234622,2407
3,davtashen,Seasonal_naive_24h,20.518175526407763,34.44249759504827,0.45405005946530597,2407
4,erebuni,AR(24)_frozen,7.837842567075406,12.24845032124044,0.9369848855045653,2712
4,erebuni,Persistence,7.892275073746312,12.495996536046087,0.934537329881888,2712
4,erebuni,Ridge,10.565891166388443,15.100299215141527,0.9044076739948957,2712
4,erebuni,RandomForest,12.152855472580248,18.955742228998165,0.8493623569802954,2712
4,erebuni,XGBoost,12.519509789538125,19.477592747778804,0.8409540973395717,2712
4,erebuni,Seasonal_naive_24h,22.762389380530973,34.05859695087103,0.513698701101692,2712
5,kanaker-zeytun,AR(24)_frozen,6.08315768979058,10.2257319122412,0.9358053490880542,2810
5,kanaker-zeytun,Persistence,6.652868592459341,10.966307360334818,0.9262655219399936,2810
5,kanaker-zeytun,Ridge,8.938948105012857,14.055433782951216,0.8788737451393537,2810
5,kanaker-zeytun,RandomForest,9.217481836955447,16.455446203077912,0.8339766745691861,2810
5,kanaker-zeytun,XGBoost,9.993911083455568,19.321805071832703,0.7711003254353547,2810
5,kanaker-zeytun,Seasonal_naive_24h,17.402583954993208,26.854838202691123,0.5578243094972832,2810
6,kentron,AR(24)_frozen,3.5366779239100525,6.914612812287435,0.9732186430924851,6488
6,kentron,Persistence,3.7118098689495365,7.227631653603194,0.9708014534738583,6488
6,kentron,XGBoost,5.87869779028352,9.946993744727283,0.9446964639583998,6488
6,kentron,RandomForest,6.212121172171255,9.960250891698209,0.9445489509109204,6488
6,kentron,Ridge,6.281657630310554,10.034254778608545,0.9437218958700103,6488
6,kentron,Seasonal_naive_24h,12.039288038445092,24.75048577602689,0.657597706338457,6488
7,malatia-sebastia,AR(24)_frozen,7.140865768840897,10.922913063217054,0.9480789500579154,2500
7,malatia-sebastia,Persistence,7.646201398601399,11.733620171987946,0.9401881314551859,2500
7,malatia-sebastia,Ridge,12.091571853058044,18.570024023519654,0.85018743145081,2500
7,malatia-sebastia,RandomForest,13.429357623052422,23.267230747503323,0.7648133247377851,2500
7,malatia-sebastia,XGBoost,13.702203688447797,24.16030002909926,0.7464124281374171,2500
7,malatia-sebastia,Seasonal_naive_24h,24.036633002331,37.43118737977561,0.391317905033445,2500
8,nork-marash,AR(24)_frozen,8.086342913114128,13.378706726812194,0.9252003203583186,2452
8,nork-marash,Persistence,8.162914627514954,13.664523971940456,0.9220211798006434,2452
8,nork-marash,Ridge,12.125319402731884,18.993911383044928,0.8493335826996236,2452
8,nork-marash,RandomForest,13.950310869223188,26.378068312119996,0.7094147113556266,2452
8,nork-marash,XGBoost,17.413963405252346,36.3052726224813,0.44953837104320027,2452
8,nork-marash,Seasonal_naive_24h,23.241027732463294,36.849240897742995,0.43291946835015593,2452
9,nor-nork,AR(24)_frozen,4.535837853599152,8.637967034142747,0.9372652122559018,3799
9,nor-nork,Persistence,4.828802449342065,9.246956226818284,0.9281325092945248,3799
9,nor-nork,Ridge,6.61630929792638,11.880533931888483,0.8813666495340835,3799
9,nor-nork,RandomForest,6.8622501936587605,13.524454683860705,0.8462644152626596,3799
9,nor-nork,XGBoost,7.0061019523244505,14.512309573005341,0.8229858654502512,3799
9,nor-nork,Seasonal_naive_24h,11.451861344616017,20.099679528753246,0.6604426433924244,3799
11,shengavit,AR(24)_frozen,7.273735178377044,10.920153702031113,0.9570110132383751,2665
11,shengavit,Persistence,7.752977694392329,11.66037172695876,0.951068396278007,2665
11,shengavit,Ridge,11.862998542996511,17.99724590387573,0.8834326939611181,2665
11,shengavit,XGBoost,13.203975866368872,22.01601848646665,0.8255615492618861,2665
11,shengavit,RandomForest,14.093308712281274,23.456719219910017,0.8019844952955586,2665
11,shengavit,Seasonal_naive_24h,25.00473769320111,37.92752967037511,0.4823052366759304,2665
