feature,importance_mean,importance_std
avg_pm10,0.6323112946043735,0.010289343303741257
ix_pm25_lag_1h_x_avg_pressure_lag_1h,0.0517216853291276,0.0012823162884137355
pm25_lag_1h,0.031512318559098654,0.0008522096902759625
ix_pm25_lag_1h_x_avg_pressure_lag_24h,0.02791766995792332,0.0005960373407725198
avg_pm10_lag_1h,0.01636697497791636,0.0006040726065118936
pm25_roll_mean_24h,0.009143112258047736,0.00022176341709764056
pm25_lag_48h,0.007423997695038542,0.0013453398522233191
avg_pressure_lag_24h,0.0065761133349541475,0.0011672550869813723
pm25_roll_max_48h,0.00574736549731063,0.00014864991023714785
pm25_lag_24h,0.005541207539664128,0.00022823783782705066
pm25_lag_3h,0.005451528076085055,0.00028766312677705263
pm25_roll_max_24h,0.005354149972457367,0.00017811603366405242
pm25_lag_6h,0.005117268388595208,0.00018872316625847602
pm25_lag_2h,0.0050982259020034395,0.0003187017030462781
ix_pm25_lag_1h_x_avg_pm10_lag_1h,0.0043775133004030796,0.00014890510730559403
pm25_roll_max_12h,0.0039005504596462794,0.00014862496601880957
pm25_roll_std_24h,0.0036971849705270564,0.0003158313600355644
pm25_trailing_vol_24h,0.0034994353229206186,0.0002189984927928063
cos_hour_1,0.00330684104292569,0.0003163821135482555
hour,0.0031219054082753496,0.0006840291149143345
pm25_roll_min_6h,0.002609950172329667,0.00014376009806736832
pm25_roll_min_24h,0.0022357462458256205,0.00011020273155571778
sin_hour_1,0.0022071452538825697,0.000183407301917871
pm25_lag_72h,0.002160513443154777,0.00013975487294026813
pm25_ewm_vol_24h,0.0021336410117822834,8.502523934393538e-05
avg_pm10_lag_24h,0.0020649535886977043,8.405602263864562e-05
pm25_roll_mean_6h,0.0019710032843169743,0.00010590417747905102
avg_pressure_lag_1h,0.001967675120805634,0.000548264671865191
sin_doy_1,0.001940387631695506,0.0003093514228469739
ix_pm25_lag_1h_x_avg_pm10_lag_24h,0.0018581110146046798,2.5632080027101083e-05
pm25_roll_mean_12h,0.0018373166589366607,0.000144068419217021
ix_pm25_lag_24h_x_avg_pressure_lag_1h,0.0015956769587155307,8.870273410575273e-05
ix_pm25_lag_1h_x_avg_humidity_lag_1h,0.00138350878664385,8.808442741532649e-05
pm25_lag_12h,0.0013321394579369427,0.00022701511439893342
pm25_roll_std_48h,0.0012293522322098017,0.00015222010662797102
pm25_trend_24h,0.0010929802623446782,0.00023182695713233083
ix_pm25_lag_24h_x_avg_humidity_lag_1h,0.0009633891171831665,6.205342966329975e-05
avg_pressure,0.0009195846764225801,0.00029725874824907143
pm25_roll_std_12h,0.0008217496163165472,0.0001392872409321292
ix_pm25_lag_24h_x_avg_pressure_lag_24h,0.0007965549668636718,5.067958331946746e-05
avg_temperature_lag_1h,0.0007257085713624822,0.0003566138472886977
pm25_roll_min_48h,0.0006685033998256928,6.48110301726336e-05
cos_doy_1,0.0005790463927874412,8.778298618960966e-05
pm25_roll_min_12h,0.0005631674882801363,0.00011230238403255323
pm25_roll_mean_48h,0.0005044454995791536,3.1605453717216955e-05
day_of_week,0.0003210795806114275,0.0001527436386322814
ix_pm25_lag_24h_x_avg_pm10_lag_1h,0.00025251439281973596,3.801770458468124e-05
ix_pm25_lag_24h_x_avg_pm10_lag_24h,0.0002113083553324846,5.460252416281566e-05
sin_hour_2,0.000202573518720639,0.00046207888334691514
sin_doy_2,0.0001890499310562732,8.811257354339013e-05
cos_doy_2,0.00012257849845167534,4.2705390465175504e-05
pm25_diff1h,7.325981380357227e-05,0.00011436100595893275
cos_hour_2,5.456971454418369e-05,0.00011224641773027386
imputation_flag_avg_pm2.5,0.0,0.0
imputation_flag_avg_humidity,0.0,0.0
long_gap_flag_avg_pressure,0.0,0.0
imputation_flag_avg_pressure,0.0,0.0
long_gap_flag_avg_temperature,0.0,0.0
imputation_flag_avg_temperature,0.0,0.0
long_gap_flag_avg_pm10,0.0,0.0
imputation_flag_avg_pm10,0.0,0.0
long_gap_flag_avg_pm2.5,0.0,0.0
long_gap_flag_avg_humidity,0.0,0.0
heating_season,-7.177188140594648e-06,1.5353082279495748e-06
month,-3.2846348356518894e-05,7.820687111136119e-06
ix_pm25_lag_1h_x_avg_temperature_lag_1h,-0.00017881485678732377,0.0001411132395391018
ix_pm25_lag_24h_x_avg_humidity_lag_24h,-0.00019541689365599747,8.529057396226281e-05
pm25_roll_max_6h,-0.0002491858083937037,5.042466741038124e-05
avg_temperature,-0.00027527107879407044,0.0006962865388463684
ix_pm25_lag_24h_x_avg_temperature_lag_1h,-0.0003010566249107449,0.0001828606004232935
ix_pm25_lag_24h_x_avg_temperature_lag_24h,-0.0004826319035325932,0.00025189183910699273
doy,-0.0007878936174713802,4.255588238376179e-05
avg_temperature_lag_24h,-0.0008189791050809192,0.00019235261875993076
ix_pm25_lag_1h_x_avg_temperature_lag_24h,-0.0008260002781739328,0.00020276601632988764
pm25_roll_std_6h,-0.0008403914332479779,0.00017322684177741902
avg_humidity_lag_1h,-0.001685815971550586,0.0002121225879563353
avg_humidity,-0.002168425182488598,0.00024049386104458358
ix_pm25_lag_1h_x_avg_humidity_lag_24h,-0.0038654975212550347,0.00012643740000553333
avg_humidity_lag_24h,-0.004859626460977162,0.0008358829621404723
