,MAE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,RMSE,R2,R2,R2,R2,R2
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
model,,,,,,,,,,,,,,,
AR(24)_frozen,2.05135,1.29508,0.7482,4.23151,12,3.03967,1.88689,1.08022,5.99927,12,0.8756,0.07878,0.71092,0.96805,12
Persistence,2.25814,1.48399,0.78738,4.839,12,3.31231,2.11248,1.14541,6.68894,12,0.85886,0.08716,0.68657,0.96028,12
RandomForest,2.79743,1.74324,1.05094,6.15921,12,3.98264,2.51597,1.45534,9.18742,12,0.7878,0.11684,0.57799,0.9304,12
RandomForest_tuned,2.55428,1.57948,0.96314,5.53632,12,3.69649,2.32618,1.34734,8.39722,12,0.81791,0.09879,0.6383,0.94095,12
Ridge,3.73012,2.605,1.24701,8.42423,12,5.23193,3.55381,1.73131,11.4603,12,0.67791,0.17545,0.34993,0.8834,12
SARIMA_auto,2.07455,1.33079,0.75307,4.3635,12,3.05113,1.90413,1.07858,6.02271,12,0.87534,0.07912,0.70351,0.9678,12
Seasonal_naive_24h,7.48071,5.87637,2.09586,19.66037,12,10.26127,7.73225,2.88053,26.10603,12,-0.05966,0.37789,-0.65327,0.39494,12
XGBoost,2.57682,1.4224,1.01873,5.16019,12,3.69016,2.11659,1.4095,7.81413,12,0.79823,0.1201,0.60416,0.94579,12
XGBoost_tuned,2.35573,1.3701,0.94841,4.81843,12,3.43465,2.03604,1.32004,7.1888,12,0.83303,0.09661,0.65281,0.95412,12
